Name,Title,Undergraduate College,Degree Year,Major,Stream,Terminal College,Terminal Degree Year,Terminal Major,Terminal Stream,Location,Current Job Title,Current Company,Join Date,Experience,First Listed Job Title,First Listed Company,First Company Join Date,First Company Experience
Ziyi (Sylvia) Tang,MS Student at Yale University,University of California Davis,2014 � 2018,Bachelor's degree,Economics & Statistics,Yale University,2018 � 2020,Master of Science - MS,Biostatistics,New Haven Connecticut,Graduate Teaching Fellow,Yale University,Jan 2019 � Present,1 yr 4 mos,Undergraduate Research Assistant Intern,UCDavis Modlab,Apr 2017 � Jul 2017,4 mos
Daisy Wolf,JD/MBA Yale Law School and Stanford Graduate School of Business,Yale University,N/A,Bachelor�s Degree,Political Science,Stanford University Graduate School of Business,N/A,Master of Business Administration - MBA,N/A,New York New York,Venture,Jane VC,Jul 2018 � Aug 2019,1 yr 2 mos,Intern Senator Charles Schumer,United States Senate,Jun 2008 � Aug 2008,3 mos
Xiaojing Zhu,MS Biostatistics Candidate Yale University,University of California Los Angeles,2014 � 2018,Bachelor of Science - BS,Statistics,Yale University,2018 � 2020,Master of Science - MS,Biostatistics,New Haven Connecticut,Statistical Programming Intern Department of Biostatistics and Data Science,Boehringer Ingelheim
        Internship,May 2019 � Aug 2019,4 mos,Data Analytics Intern Big Data Application and Operation Center,China Mobile Group Shanghai Co. Ltd.
        Internship,Aug 2016 � Sep 2016,2 mos
Megan Ananian,Venture Associate at SeedInvest / Yale MBA,Christ Church Episcopal School,1997 � 2007,High School,College Preparatory,Yale School of Management,2017 � 2019,Master of Business Administration - MBA,N/A,New York New York,Venture Senior Associate,SeedInvest,Jun 2019 � Present,11 mos,Intern to Senator Jim DeMint,United States Senate,Jan 2008 � May 2008,5 mos
Samantha Bensinger,J.D. Candidate at Yale Law School,Francis W. Parker School,2009 � 2013,High School Diploma,N/A,Yale Law School,2019 � 2022,Doctor of Law - JD,N/A,New Haven Connecticut,Legal Analyst Finance and Corporate Governance Group,Goldman Sachs,Jul 2017 � Jun 2019,2 yrs,Instructor Program in Politics Law & Economics,Yale Young Global Scholars,Jul 2013 � Aug 2013,2 mos
Douglas Weinrib,MBA Candidate at Yale School of Management,Williams College,N/A,N/A,History,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,New York New York,Senior Associate,The Carlyle Group | Carlyle Airport Group,Feb 2019 � Aug 2019,7 mos,Investment Banking Summer Analyst,UBS,Jun 2012 � Aug 2012,3 mos
Nicole Ng,J.D. Candidate - Yale Law School,Phillips Academy,2009 � 2013,N/A,N/A,Yale Law School,2019 � 2022,Doctor of Law - JD,N/A,United States,Company Name
Carnegie Endowment for International Peace,N/A,2 yrs,N/A,Intern,National Criminal Justice Association,Jun 2014 � Aug 2014,3 mos
Soumitra Shukla (Soum),Arvid Anderson Fellow at Yale University,Loyola School Jamshedpur,N/A,N/A,N/A,Yale University,2015 � 2021,Doctor of Philosophy (with Distinction),Economics,New Haven Connecticut,Company Name
Yale University,N/A,3 yrs 4 mos,N/A,Operations Support Specialist (Internship),Thies & Talle Management Inc.,May 2014 � Aug 2014,4 mos
Shruthi Basavaraj,MBA Candidate at the Yale School of Management,DPS RK Puram,N/A,N/A,N/A,Yale School of Management,2017  2019,Master of Business Administration - MBA,N/A,New Haven Connecticut,Summer Intern,ICF,Jun 2018  Aug 2018,3 mos,N/A,N/A,N/A,N/A
Jordan Dannenberg,J.D. Candidate | Yale Law School,University of Pennsylvania,2012  2016,Bachelor of Arts (B.A.) with Distinction,Political Science (Major) Gender Sexuality and Women's Studies (Minor),Yale Law School,2018  2021,N/A,N/A,New York New York,Legal Intern Southern District of New York,United States Attorneys' Offices,May 2019  Jul 2019,3 mos,Organizing Fellow,Obama for America,May 2012  Aug 2012,4 mos
Jason Clark,MBA Candidate at Yale School of Management,Northeastern University,2009  2013,N/A,N/A,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,Clean Energy Investing Intern,Tortoise,Jun 2019  Aug 2019,3 mos,Co-op Controllers,Commonwealth Annuity,Jan 2011  Jun 2011,6 mos
Ian I. Irungu,BCG | Yale | HBS 2+2,United World College- Mahindra College,2013  2015,International Baccalaureate Diploma,N/A,Harvard Business School,N/A,Master of Business Administration - MBA,N/A,Seattle Washington,Associate,Boston Consulting Group (BCG)
        Full-time,Jan 2020  Present,4 mos,Associate Fellow,Yale Young African Scholars,Dec 2015  Dec 2017,2 yrs 1 mo
Pengbo Wu,MBA Candidate at Yale School of Management,General Assembly,2017  2017,N/A,Visual Design,Yale School of Management,2018  2020,M.B.A.,N/A,New York New York,Growth Intern,LemonBox,Jun 2019  Aug 2019,3 mos,Summer Analyst,Barclays,Jun 2014  Aug 2014,3 mos
Shannon Yan,MBA Candidate at Yale School of Management,Washington University in St. Louis,2010  2014,Bachelor,Economics Finance; Minor: Art History and Archeology,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Aug 2019  Present,9 mos,N/A,N/A,N/A,N/A
Vibhav Agarwal,MBA candidate at Yale School of Management,Indian Institute of Technology Kanpur,2008  2012,Bachelor of Technology (B.Tech.),Bioengineering and Biomedical Engineering,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New York New York,Summer Associate,Deloitte Consulting,May 2019  Present,1 yr,Research Assistant,Clean Air Carolina,May 2013  Jul 2013,3 mos
Kunal Deodhar,MBA Candidate at Yale School of Management,Carnegie Mellon University,2009  2013,Bachelor of Science (B.S.),Electrical and Computer Engineering,Yale School of Management,2018  2020,Master of Business Administration - MBA,Business Administration and Management General,New York New York,Business Development Advisor,Ongoza,Jun 2019  Aug 2019,3 mos,Software Engineer,MAYA Design,May 2011  Aug 2011,4 mos
Jesse Lazarus,Harvard Yale JD-MBA,Middlebury Chinese Summer Language School,2010  2010,N/A,Chinese,Harvard Law School,2019  2022,Doctor of Law - JD,N/A,Cambridge Massachusetts,Board Fellow,Yale-China Association,Oct 2017  May 2019,1 yr 8 mos,Assistant Manager China Investment Sector Specialist Research,CBRE,May 2015  Aug 2016,1 yr 4 mos
Lina Kacyem CPCU,MBA Candidate at Yale - School Of Management,Penn State University,2005  2009,Bachelors Degree,Marketing,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,Smithtown New York,Venture Fellow,Blue Ivy Ventures,Jul 2019  Present,10 mos,Marketing Intern,The Hartford,2008,less than a year
Rachel Greinetz,MBA Candidate Yale School of Management,Marin Academy,2005  2009,N/A,N/A,University of Michigan - Stephen M. Ross School of Business,2009  2013,BBA,Marketing & Strategy,Greater New York City Area,MBA Candidate,Yale School of Management,Aug 2018  Present,1 yr 9 mos,Account Management Intern,Hub Strategy,Jun 2010  Aug 2010,3 mos
Sarina X.,Senior Interviewer at Yale University,Manhattan School of Music,2007  2016,Pre-College,Classical Piano Violin,Yale University,2016  2020,Bachelors Degree,Statistics & Data Science and Political Science,New Haven Connecticut,Senior Interviewer,Yale University,Sep 2019  Present,8 mos,Marketing Coordinator,Cora Women,Apr 2015  Aug 2015,5 mos
Maggie Shun,MBA Candidate at Yale School of Management,NYU Stern School of Business,2011  2015,Bachelors Degree,Business Administration,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,M&E and Business Analytics Intern,Sanergy
        Internship,Apr 2020  Present,1 mo,Microfinance Business Development Intern,Atikus,Jun 2013  May 2014,1 yr
Melissa Jeffries,Yale Graduate | Biomedical Engineer | Entrepreneur,NYU Stern School of Business,2011  2015,Bachelors Degree,Business Administration,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,Greater Los Angeles Area,M&E and Business Analytics Intern,Sanergy
        Internship,Apr 2020  Present,1 mo,Microfinance Business Development Intern,Atikus,Jun 2013  May 2014,1 yr
Jon Wong,MBA Candidate at the Yale School of Management,St. George's School,2002  2007,N/A,N/A,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,Summer Investment Professional (Private Equity Partners),BlackRock,Jul 2019  Aug 2019,2 mos,Analyst Transaction Advisory Services,EY,Sep 2011  Jul 2013,1 yr 11 mos
Erica Chae,J.D. Candidate at Yale Law School,University of California Berkeley,2013  2016,Bachelor of Arts (B.A.) Magna Cum Laude,N/A,Yale Law School,2017  2020,Doctor of Law (J.D.),N/A,New Haven Connecticut,Summer Associate,Sullivan & Cromwell LLP,May 2019  Jul 2019,3 mos,Leadership Development Committee Treasurer,Phi Alpha Delta Law Fraternity International,Jan 2014  May 2014,5 mos
Rehan Kukar,MBA Candidate at Yale SOM,Bombay Scottish School Mahim,1996  2008,ICSE,N/A,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Jul 2018  Present,1 yr 10 mos,Intern,CNBC TV18,Jun 2010  Jul 2010,2 mos
Irene Koo,MBA Candidate at Yale School of Management,Phillips Exeter Academy,2004  2008,N/A,N/A,Yale University,2018  2020,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Aug 2018  Present,1 yr 9 mos,University Commitments Intern,Clinton Global Initiative,Jun 2010  Sep 2010,4 mos
Lourdes Lira,MBA Candidate at Yale School of Management,Tecnolgico de Monterrey,2007  2012,Bachelor's degree,Mechanical and Electrical Engineering,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,Greater New York City Area,Operations MBA Intern,Walmart eCommerce,Jun 2019  Aug 2019,3 mos,Intern,KEMET Electronics Corporation,Jun 2010  Aug 2010,3 mos
Takanori (Tako) Ohkubo,MBA Candidate at Yale School of Management,University of Southern California,2008  2012,Bachelor of Arts (B.A.),Biological Sciences,Yale School of Management,2019  2021,Master of Business Administration - MBA Candidate,N/A,Greater Los Angeles Area,Board of Directors Chief Talent Officer,stepupLA,Aug 2017  Aug 2019,2 yrs 1 mo,Co-Founder Executive Producer,Trojan Health Connection,Jan 2010  May 2012,2 yrs 5 mos
Xiaojing Zhu,MS Biostatistics Candidate Yale University,University of California Los Angeles,2014  2018,Bachelor of Science - BS,Statistics,Yale University,2018  2020,Master of Science - MS,Biostatistics,New Haven Connecticut,Statistical Programming Intern Department of Biostatistics and Data Science,Boehringer Ingelheim
        Internship,May 2019  Aug 2019,4 mos,Data Analytics Intern Big Data Application and Operation Center,China Mobile Group Shanghai Co. Ltd.
        Internship,Aug 2016  Sep 2016,2 mos
Wira Ramanto,MBA Candidate at Yale School of Management,University of Indonesia,N/A,Sarjana Teknik,Civil Engineering,Yale School of Management,2018  2020,Master of Business Administration - MBA,N/A,Greater New York City Area,MBA Consultant,Viacom,Sep 2019  Dec 2019,4 mos,Infrastructures Intern,Singgar Mulia Engineering,Aug 2012,1 mo
Fan Xiong CFA,MBA for Executive at Yale School of Management,No. 4 Middle School,1994  1997,High School Education,High School/Secondary Diplomas and Certificates,Yale School of Management,2019  2021,MBA for Executive,Asset Management,Boston Massachusetts,Financial Engineer,Putnam Investments,Dec 2019  Present,5 mos,Quantitative Analyst Asset Allocation Strategies,Wellington Management,Jul 2009  Dec 2009,6 mos
Kanwal L. Haq,Medical Anthropologist at Yale School of Medicine,Poplar Bluff High School,N/A,High School Diploma,N/A,Yale University,N/A,Professional Development,N/A,New Haven Connecticut United States,Company Name
Yale University,N/A,2 yrs 11 mos,N/A,Education Fellow,AmeriCorps,2013  2014,1 yr
Daniel J. Otto CFA,Associate Director at Yale Investments Office,Lake Zurich High School,N/A,N/A,N/A,Yale University,2008  2012,Bachelor of Arts,Economics,New Haven Connecticut,Associate Director,Yale Investments Office,2013  Present,7 yrs,Associate Director,Yale Investments Office,2013  Present,7 yrs
Tobias Daros,MBA and MEM Candidate at Yale University,Management Leadership for Tomorrow,N/A,N/A,N/A,Yale School of Management,2017  2020,Master of Business Administration - MBA,Business Administration and Management General,New Haven Connecticut,Finance Summer Associate,Apex Clean Energy,Jun 2019  Present,11 mos,Summer Intern,Air Products,May 2007  Aug 2007,4 mos
Anuradha Byagari,MBA Candidate at Yale School of Management,St. John's University,2008  2012,Bachelor's Degree,Economics Computer Science,Yale School of Management,2019  2021,Master of Business Administration - MBA,N/A,New York New York,MBA Candidate,Yale School of Management,Aug 2019  Present,9 mos,Summer Analyst Institutional Equities Division,Morgan Stanley,Jun 2010  Aug 2010,3 mos
Mary Jo Medina,Product Manager at BetterUp - we're hiring!,SIT Regional Integration Development and Social Change,2014  2014,N/A,Development and Social Change,Yale University,2011  2015,B.A.,Ethnicity Race and Migration,San Francisco California,Company Name
BetterUp,N/A,4 yrs 11 mos,N/A,Business Analyst Intern,Acupera,Jun 2014  Aug 2014,3 mos
Shruthi Basavaraj,MBA Candidate at the Yale School of Management,DPS RK Puram,N/A,N/A,N/A,Yale School of Management,2017  2019,Master of Business Administration - MBA,N/A,New Haven Connecticut,Summer Intern,ICF,Jun 2018  Aug 2018,3 mos,N/A,N/A,N/A,N/A
Shili Shao,J.D. Candidate at Yale Law School,Beijing International Studies University,2013  2017,Bachelor of Arts (B.A.),Interpreting and Translation,Yale Law School,2017  2020,Doctor of Law (J.D.),N/A,New Haven Connecticut,Summer Associate,Cooley LLP,May 2019  Jul 2019,3 mos,Judicial Extern to Judge Richard Seeborg,U.S. District Court Northern District of California,May 2018  Jun 2018,2 mos
Ian I. Irungu,BCG | Yale | HBS 2+2,United World College- Mahindra College,2013  2015,International Baccalaureate Diploma,N/A,Harvard Business School,N/A,Master of Business Administration - MBA,N/A,Seattle Washington,Associate,Boston Consulting Group (BCG)
        Full-time,Jan 2020  Present,4 mos,Associate Fellow,Yale Young African Scholars,Dec 2015  Dec 2017,2 yrs 1 mo
Na Zhu,Ph.D. Candidate at Yale University,University of Science and Technology of China,2010  2014,Bachelor of Science - BS,Engineering Physics/Applied Physics,Yale University,2014  2020,Doctor of Philosophy - PhD,Electrical and Electronics Engineering,New Haven Connecticut,Venture Development Associate,Yale Office of Cooperative Research,Sep 2018  Present,1 yr 8 mos,N/A,N/A,N/A,N/A
Pengbo Wu,MBA Candidate at Yale School of Management,General Assembly,2017  2017,N/A,Visual Design,Yale School of Management,2018  2020,M.B.A.,N/A,New York New York,Growth Intern,LemonBox,Jun 2019  Aug 2019,3 mos,Summer Analyst,Barclays,Jun 2014  Aug 2014,3 mos
